,Date,SPX,GLD,USO,SLV,EUR/USD,Bitcoin,Ethereum
0,11/6/2013,1770.4899899999998,127.199997,34.189999,21.0,1.347309,264.47000122070307,0.7084479928016663
1,11/7/2013,1747.1500239999998,126.160004,33.970001,20.83,1.351808,270.385986328125,1.0678600072860718
2,11/8/2013,1770.609985,124.279999,34.009997999999996,20.690001000000002,1.340914,266.37600708007807,1.2174400091171265
3,11/11/2013,1771.890015,123.870003,34.259997999999996,20.6,1.3347930000000001,264.07998657226557,1.827669978141785
4,11/12/2013,1767.689941,122.449997,33.639998999999996,20.0,1.340932,265.67999267578125,1.8278700113296509
5,11/13/2013,1782.0,122.849998,33.900002,19.780001000000002,1.343996,261.55099487304693,1.6888999938964844
6,11/14/2013,1790.619995,124.269997,33.93,20.049999,1.348963,258.50698852539057,1.5660300254821775
7,11/15/2013,1798.180054,124.32,33.880001,20.0,1.344899,257.9760131835937,1.2036099433898926
8,11/18/2013,1791.530029,122.900002,33.619999,19.67,1.348399,211.07899475097656,1.0870499610900881
9,11/19/2013,1787.869995,122.949997,33.720001,19.610001,1.350439,226.6840057373047,1.2588599920272827
10,11/20/2013,1781.369995,120.120003,33.630001,19.139999,1.3567420000000001,235.3500061035156,1.4649200439453125
11,11/21/2013,1795.8499760000002,119.940002,34.169998,19.24,1.343382,232.56900024414062,1.3952900171279907
12,11/22/2013,1804.7600100000002,119.91999799999999,34.040001000000004,19.129998999999998,1.3471819999999999,230.38999938964844,1.37923002243042
13,11/25/2013,1802.47998,120.459999,33.82,19.27,1.355234,228.16900634765625,1.3525899648666382
14,11/26/2013,1802.75,119.82,33.689999,19.129998999999998,1.352759,210.4949951171875,1.2312699556350708
15,11/27/2013,1807.22998,119.459999,33.189999,18.959999,1.3567790000000002,221.60899353027344,1.1401900053024292
16,11/29/2013,1805.810059,120.699997,33.459998999999996,19.24,1.360396,225.83099365234372,1.159980058670044
17,12/2/2013,1800.9000239999998,117.58000200000001,33.68,18.459999,1.358511,224.7689971923828,1.147699952125549
18,12/3/2013,1795.1500239999998,117.959999,34.509997999999996,18.42,1.354206,231.39599609375,1.1913800239562988
19,12/4/2013,1792.810059,119.959999,34.880001,19.0,1.359065,229.77999877929688,1.1825499534606934
20,12/5/2013,1785.030029,118.300003,34.93,18.690001000000002,1.35864,228.7610015869141,1.3192700147628784
21,12/6/2013,1805.089966,118.550003,35.049999,18.76,1.366998,230.05599975585938,1.358240008354187
22,12/9/2013,1808.369995,119.720001,34.91,19.120001000000002,1.370652,228.1210021972656,1.3516099452972412
23,12/10/2013,1802.619995,121.82,35.310001,19.66,1.374023,229.28399658203125,1.2947900295257568
24,12/11/2013,1782.219971,120.860001,34.98,19.549999,1.376444,227.18299865722656,1.264930009841919
25,12/12/2013,1775.5,118.290001,34.970001,18.809998999999998,1.378607,230.29800415039062,1.2744100093841553
26,12/13/2013,1775.319946,119.379997,34.639998999999996,18.950001,1.375081,235.0189971923828,1.3388099670410156
27,12/16/2013,1786.540039,119.690002,34.939999,19.219998999999998,1.373928,239.83999633789062,1.295830011367798
28,12/17/2013,1781.0,118.650002,34.869999,19.139999,1.376292,239.8470001220703,1.246649980545044
29,12/18/2013,1810.6500239999998,117.610001,35.029999,19.09,1.377126,243.60699462890625,1.2424299716949463
30,12/19/2013,1809.5999760000002,114.82,35.32,18.49,1.368495,238.1679992675781,1.2065099477767944
31,12/20/2013,1818.319946,115.940002,35.48,18.620001000000002,1.365579,238.4770050048828,1.1657700538635254
32,12/23/2013,1827.9899899999998,115.57,35.360001000000004,18.719998999999998,1.367839,240.10699462890625,0.9829779863357544
33,12/24/2013,1833.319946,116.099998,35.490002000000004,18.76,1.3699940000000002,235.22900390625,1.0387400388717651
34,12/26/2013,1842.02002,116.739998,35.650002,19.02,1.366848,230.51199340820312,0.936003029346466
35,12/27/2013,1841.4000239999998,117.120003,35.84,19.27,1.3696190000000001,230.6439971923828,0.8756219744682312
36,12/30/2013,1841.069946,115.389999,35.529999,18.85,1.375024,230.3040008544922,0.9444100260734558
37,12/31/2013,1848.359985,116.120003,35.32,18.709999,1.381006,229.09100341796875,0.9071750044822692
38,1/2/2014,1831.97998,118.0,34.23,19.23,1.376671,229.80999755859372,0.8742309808731079
39,1/3/2014,1831.369995,119.290001,33.75,19.42,1.366662,232.9750061035156,0.8536850214004517
40,1/6/2014,1826.77002,119.5,33.57,19.42,1.359601,231.4929962158203,0.8823909759521484
41,1/7/2014,1837.880005,118.82,33.580002,19.129998999999998,1.3631959999999999,231.2120056152344,0.938444972038269
42,1/8/2014,1837.4899899999998,118.120003,33.16,18.83,1.361637,227.0850067138672,0.9190469980239868
43,1/9/2014,1838.130005,118.459999,33.080002,18.84,1.357202,230.6179962158203,0.9017959833145142
44,1/10/2014,1842.369995,120.260002,33.189999,19.379998999999998,1.360711,230.2830047607422,0.8934059739112854
45,1/13/2014,1819.199951,121.019997,32.810001,19.68,1.367185,234.5290069580078,0.8136100172996521
46,1/14/2014,1838.880005,119.889999,33.040001000000004,19.42,1.366998,235.1439971923828,0.7362229824066162
47,1/15/2014,1848.380005,119.660004,33.77,19.4,1.366848,234.33999633789062,0.7859640121459961
48,1/16/2014,1845.890015,119.790001,33.650002,19.35,1.359934,232.7570037841797,0.7208390235900879
49,1/17/2014,1838.699951,120.93,33.689999,19.51,1.361804,239.1419982910156,0.5828859806060791
50,1/21/2014,1843.800049,119.699997,33.990002000000004,19.17,1.354903,236.6869964599609,0.6611459851264954
